property_code,property_id,stay_date,banked_ooo,banked_other,blocks_ooo,blocks_other,di_oos,di_capacity,ooo_source
OR,8700,2026-07-24,9,0,7,0,6.90,135,cloudbeds
OR,8700,2026-07-25,9,0,7,0,6.90,135,cloudbeds
OR,8700,2026-07-26,9,0,7,0,6.90,135,cloudbeds
OR,8700,2026-07-27,9,0,7,0,6.90,135,cloudbeds
OR,8700,2026-07-28,9,0,7,0,6.90,135,cloudbeds
OR,8700,2026-07-29,9,0,7,0,6.90,135,cloudbeds
OR,8700,2026-07-30,9,0,9,0,8.87,135,cloudbeds
OR,8700,2026-07-31,10,3,9,1,9.93,135,cloudbeds
OR,8700,2026-08-01,10,2,9,1,9.93,135,cloudbeds
OR,8700,2026-08-02,11,2,10,1,10.92,135,cloudbeds
OR,8700,2026-08-03,11,2,11,1,11.91,135,cloudbeds
OR,8700,2026-08-04,11,2,11,1,11.91,135,cloudbeds
OR,8700,2026-08-05,12,2,12,1,12.90,135,cloudbeds
